rows,fd_time_sec_cum,aad_time_sec_cum,wall_time_sec_cum
4850000,53215.398314,17950.515468,94668.379344
4860000,53324.887385,17987.490747,94863.487894
4870000,53434.426195,18024.449257,95058.469454
4880000,53543.701632,18061.375961,95253.785245
4890000,53653.243719,18098.345003,95449.046073
4900000,53762.675104,18135.285533,95643.935457
4910000,53872.201290,18172.235999,95839.346312
4920000,53981.483106,18209.150946,96032.863308
4930000,54090.844395,18246.094078,96226.987952
4940000,54200.334064,18283.030004,96421.185404
4950000,54309.888962,18319.992488,96615.838359
4960000,54419.181019,18356.917471,96810.792789
4970000,54528.478550,18393.819980,97005.908389
4980000,54639.547348,18431.203256,97204.803747
4990000,54749.571712,18468.260555,97401.101872
5000000,54858.835919,18505.201603,97595.537555
